en,g
ad,h
es,h
no,h
mora,l
mokolo,m
logonebirni,m
fotokol,m
makary,m
Africa_Globe_Cameroon,n
djohong,i
meiganga,i
touboro,i
garouaboulai,i
kette,i
kentzou,i
nw,n
sw,n
maroua1er,m
maroua2e,m
maroua3e,m
meri,m
kousseri,m
goulfey,m
waza,m
blangoua,m
darak,m
zina,m
ngouaguere,m
maga,m
wina,m
gobo,m
kaikai,m
yagoua,m
guere,m
kolofata,m
bourrha,m
ngaoui,j
dir,j
ngaoundere,j
mandjou,j
betareoya,j
"ngoura	",j
mbotoro,j
garigombo,j
batouri,j
salapoumbe,j
ndelele,j
yokadouma,j
moloundou,j
ngaoundere1er,j
"ngaoundere2e	",j
"ngaoundere3e	",j
